product_id,name,description,cost_price,selling_price,category,stock_available,units_sold,customer_rating,demand_forecast_value,demand_forecast
1,MacBook Pro 16",Premium 16-inch MacBook Pro with M2 chip 32GB RAM 1TB SSD,1200.00,1899.00,Electronics,45,89,4.8,125,"{""2021"": 95, ""2022"": 110, ""2023"": 125}"
2,Wireless Noise-Canceling Headphones,High-end wireless headphones with active noise cancellation and 30-hour battery life,89.50,199.99,Electronics,156,234,4.6,280,"{""2021"": 210, ""2022"": 245, ""2023"": 280}"
3,Organic Cotton T-Shirt,Premium organic cotton t-shirt sustainably sourced and ethically produced,12.75,29.99,Sustainable,342,567,4.4,620,"{""2021"": 480, ""2022"": 540, ""2023"": 620}"
4,Smart Home Security Camera,4K wireless security camera with night vision and AI motion detection,45.20,89.99,Electronics,78,123,4.7,150,"{""2021"": 95, ""2022"": 120, ""2023"": 150}"
5,Electric Scooter,High-performance electric scooter with 25-mile range and 20mph top speed,320.00,599.99,Outdoor,23,67,4.5,85,"{""2021"": 45, ""2022"": 65, ""2023"": 85}"
6,Air Purifier with HEPA Filter,Advanced air purifier with HEPA-13 filter and air quality monitoring,78.90,149.99,Home,89,156,4.6,180,"{""2021"": 120, ""2022"": 140, ""2023"": 180}"
7,Smartwatch Series 8,Latest smartwatch with health monitoring and GPS tracking,180.00,349.99,Fitness,67,98,4.8,120,"{""2021"": 75, ""2022"": 95, ""2023"": 120}"
8,Portable Solar Charger,20000mAh portable charger with solar panels for outdoor use,34.50,79.99,Outdoor,234,345,4.3,400,"{""2021"": 280, ""2022"": 320, ""2023"": 400}"
9,Fitness Tracker Pro,Advanced fitness tracker with heart rate monitoring and sleep tracking,28.75,59.99,Fitness,456,678,4.4,750,"{""2021"": 520, ""2022"": 600, ""2023"": 750}"
10,Bluetooth Speaker Waterproof,Portable waterproof Bluetooth speaker with 360-degree sound,42.30,89.99,Electronics,189,267,4.5,320,"{""2021"": 200, ""2022"": 240, ""2023"": 320}"
11,Ergonomic Office Chair,High-quality ergonomic office chair with lumbar support and adjustable features,156.00,299.99,Home,34,56,4.7,75,"{""2021"": 45, ""2022"": 60, ""2023"": 75}"
12,LED Desk Lamp with Wireless Charging,Smart LED desk lamp with built-in wireless charging pad,23.40,49.99,Electronics,345,456,4.3,520,"{""2021"": 380, ""2022"": 420, ""2023"": 520}"
13,Gaming Mouse RGB,High-precision gaming mouse with customizable RGB lighting and programmable buttons,18.90,39.99,Electronics,567,789,4.6,900,"{""2021"": 650, ""2022"": 720, ""2023"": 900}"
14,Mechanical Keyboard,Premium mechanical keyboard with Cherry MX switches and backlighting,67.80,129.99,Electronics,123,178,4.8,220,"{""2021"": 140, ""2022"": 180, ""2023"": 220}"
15,Foldable Electric Bike,Compact foldable electric bike with 40-mile range and 18mph speed,450.00,899.99,Outdoor,12,28,4.9,40,"{""2021"": 20, ""2022"": 30, ""2023"": 40}"
16,Mini Projector 4K,Portable 4K mini projector with built-in speakers and wireless connectivity,89.50,179.99,Electronics,67,89,4.4,110,"{""2021"": 65, ""2022"": 85, ""2023"": 110}"
17,Wireless Charging Pad,Fast wireless charging pad compatible with all Qi-enabled devices,15.60,34.99,Electronics,789,987,4.2,1150,"{""2021"": 850, ""2022"": 950, ""2023"": 1150}"
18,Indoor Herb Garden Kit,Smart indoor herb garden with LED grow lights and automated watering,45.20,89.99,Sustainable,234,345,4.5,420,"{""2021"": 280, ""2022"": 320, ""2023"": 420}"
19,Reusable Water Bottle,Stainless steel insulated water bottle with temperature retention,8.90,24.99,Sustainable,567,789,4.4,900,"{""2021"": 650, ""2022"": 750, ""2023"": 900}"
20,Bamboo Cutting Board Set,Eco-friendly bamboo cutting board set with knife storage,12.30,29.99,Sustainable,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
21,Smart Thermostat,WiFi-enabled smart thermostat with energy-saving features and app control,56.70,119.99,Home,89,134,4.7,160,"{""2021"": 95, ""2022"": 125, ""2023"": 160}"
22,Yoga Mat Premium,High-quality non-slip yoga mat with alignment lines and carrying strap,18.40,39.99,Fitness,345,456,4.5,540,"{""2021"": 380, ""2022"": 420, ""2023"": 540}"
23,Robot Vacuum Cleaner,Smart robot vacuum with mapping technology and app control,134.50,269.99,Home,45,78,4.6,95,"{""2021"": 55, ""2022"": 75, ""2023"": 95}"
24,Wireless Earbuds Pro,True wireless earbuds with active noise cancellation and wireless charging case,67.80,149.99,Electronics,234,345,4.7,420,"{""2021"": 280, ""2022"": 320, ""2023"": 420}"
25,Standing Desk Converter,Adjustable standing desk converter with memory presets and cable management,89.20,179.99,Home,67,98,4.4,120,"{""2021"": 75, ""2022"": 95, ""2023"": 120}"
26,Portable Bluetooth Keyboard,Foldable Bluetooth keyboard compatible with all devices,23.40,49.99,Electronics,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
27,Smart Door Lock,WiFi-enabled smart door lock with fingerprint and keypad access,78.90,159.99,Home,34,56,4.8,75,"{""2021"": 45, ""2022"": 60, ""2023"": 75}"
28,Resistance Band Set,Complete resistance band set with different resistance levels and carrying bag,8.90,19.99,Fitness,789,987,4.2,1150,"{""2021"": 850, ""2022"": 950, ""2023"": 1150}"
29,USB-C Hub Adapter,7-in-1 USB-C hub with HDMI USB ports and SD card reader,15.60,34.99,Electronics,567,678,4.4,800,"{""2021"": 580, ""2022"": 640, ""2023"": 800}"
30,Smart Light Bulb Pack,WiFi-enabled smart light bulbs with voice control and scheduling,12.30,29.99,Home,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
