product_id,name,description,cost_price,selling_price,category,stock_available,units_sold,customer_rating,demand_forecast,optimized_price
1,Eco-Friendly Water Bottle,High quality eco-friendly water bottle with modern features.,7.96,10.44,Electronics,462,299,5,"{""2021"": 117, ""2022"": 119, ""2023"": 152}",9.92
2,Wireless Earbuds,High quality wireless earbuds with modern features.,85.12,138.24,Outdoor,87,110,5,"{""2021"": 92, ""2022"": 132, ""2023"": 167}",131.33
3,Organic Cotton T-Shirt,High quality organic cotton t-shirt with modern features.,31.27,55.97,Sustainable,331,48,4,"{""2021"": 81, ""2022"": 145, ""2023"": 174}",53.17
4,Smart Home Hub,High quality smart home hub with modern features.,46.11,81.83,Sustainable,250,294,4,"{""2021"": 118, ""2022"": 121, ""2023"": 147}",77.74
5,Electric Scooter,High quality electric scooter with modern features.,40.96,77.47,Outdoor,416,218,5,"{""2021"": 111, ""2022"": 104, ""2023"": 158}",73.6
6,Noise-Canceling Headphones,High quality noise-canceling headphones with modern features.,76.31,121.03,Home,272,286,4,"{""2021"": 103, ""2022"": 109, ""2023"": 137}",114.98
7,Smartwatch,High quality smartwatch with modern features.,85.02,124.35,Fitness,238,222,3,"{""2021"": 107, ""2022"": 112, ""2023"": 174}",118.13
8,Portable Solar Charger,High quality portable solar charger with modern features.,84.52,136.48,Outdoor,431,123,4,"{""2021"": 88, ""2022"": 115, ""2023"": 159}",129.66
9,Fitness Tracker,High quality fitness tracker with modern features.,86.34,136.22,Home,452,95,4,"{""2021"": 100, ""2022"": 142, ""2023"": 138}",129.41
10,Bluetooth Speaker,High quality bluetooth speaker with modern features.,97.53,143.58,Fitness,183,216,5,"{""2021"": 111, ""2022"": 137, ""2023"": 145}",136.4
11,Laptop Stand,High quality laptop stand with modern features.,65.36,96.67,Outdoor,264,300,5,"{""2021"": 97, ""2022"": 150, ""2023"": 169}",91.84
12,LED Desk Lamp,High quality led desk lamp with modern features.,67.38,96.34,Fitness,387,299,3,"{""2021"": 100, ""2022"": 116, ""2023"": 157}",91.52
13,Air Purifier,High quality air purifier with modern features.,33.05,49.86,Home,487,278,4,"{""2021"": 90, ""2022"": 125, ""2023"": 166}",47.37
14,Gaming Mouse,High quality gaming mouse with modern features.,40.97,64.65,Sustainable,270,48,5,"{""2021"": 104, ""2022"": 102, ""2023"": 178}",61.42
15,Ergonomic Keyboard,High quality ergonomic keyboard with modern features.,24.49,34.73,Home,295,170,4,"{""2021"": 80, ""2022"": 124, ""2023"": 146}",32.99
16,Foldable Bike,High quality foldable bike with modern features.,78.78,133.08,Fitness,477,145,3,"{""2021"": 108, ""2022"": 120, ""2023"": 137}",126.43
17,Mini Projector,High quality mini projector with modern features.,34.76,67.89,Home,238,155,5,"{""2021"": 114, ""2022"": 143, ""2023"": 155}",64.5
18,Wireless Charger,High quality wireless charger with modern features.,52.72,79.87,Sustainable,338,248,5,"{""2021"": 91, ""2022"": 111, ""2023"": 153}",75.88
19,Indoor Plant Set,High quality indoor plant set with modern features.,77.59,119.61,Electronics,100,144,4,"{""2021"": 89, ""2022"": 138, ""2023"": 132}",113.63
20,Reusable Grocery Bags,High quality reusable grocery bags with modern features.,53.19,82.51,Electronics,431,285,3,"{""2021"": 119, ""2022"": 113, ""2023"": 169}",78.38
